TGW,HI,BM,CT_UAV_1,CT_UAV_2,CT_UAV_3,CT_UAV_4,YLD
40.573041,0.507088,1228.614549,25.64194,24.545271,25.124951,32.60276,623.0015
24.425,0.4085,1114.095,25.295,23.82,23.99,32.35,455.805
38.974574,0.454603,1496.340004,25.463582,23.811103,23.406631,30.464572,679.5885
43.771531,0.492738,1262.9329,25.511795,23.644764,23.560493,31.114737,621.8858
39.27675,0.457393,1314.414117,25.658851,24.176071,24.724127,33.298681,604.1609
30.970212,0.483589,1176.691542,25.58178,24.029275,25.675784,33.969452,569.8369
45.764818,0.500001,1229.102451,25.655598,23.617851,23.947205,31.410244,615.3932
39.726206,0.487884,1439.526464,25.634177,23.836998,23.953772,31.652491,703.2617
42.288575,0.461054,1325.072556,25.448252,23.777606,23.834479,31.015779,611.6587
44.434685,0.451271,1152.766613,25.782033,24.425988,23.848313,30.449471,519.2414
43.697042,0.4509,1444.690583,25.635807,23.958075,23.366814,30.23931,650.5887
46.358036,0.485415,1590.685246,25.638215,24.132168,23.588154,31.306528,770.8658
34.909374,0.470553,1254.735264,25.480479,24.033043,23.887161,31.331965,590.6908
47.21791,0.481734,1371.690427,26.040947,24.393303,23.784097,30.731733,660.3705
41.004058,0.492083,1010.648502,25.744417,23.7843,23.468588,30.974083,497.8125
52.204913,0.478681,1589.718787,25.776301,24.138305,23.157089,29.932621,761.6336
41.485198,0.442546,1475.808782,25.306813,23.717333,22.939915,30.464506,648.9682
41.359787,0.490639,1374.853267,25.305429,23.869418,23.143521,30.325821,674.4393
41.401165,0.472807,1431.671323,25.261451,23.929576,23.726923,31.612619,677.0666
40.949912,0.50582,1109.023086,25.562696,24.223283,23.842579,31.125615,562.1796
37.470519,0.48695,1186.156907,25.361516,23.80041,24.146621,31.38675,575.5569
30.847527,0.435913,1591.063233,25.652109,24.257907,24.224898,31.970432,692.9776
38.301629,0.499445,1427.006071,25.868298,23.753892,23.660216,31.266352,714.039
45.153968,0.494705,1362.244648,25.711812,24.25303,24.358797,31.690904,673.3955
38.42325,0.520607,1285.365883,26.106149,23.998929,23.045873,30.656319,670.5991
38.225,0.4175,1225.86,25.4,23.89,23.15,30.71,511.56
44.551596,0.516703,996.658326,25.440276,24.161371,23.707758,31.882378,513.3819
33.721587,0.488783,989.097898,25.681595,24.121471,24.600903,32.969869,482.6187
49.382851,0.475602,1252.258331,25.781389,23.994313,23.451772,30.76644,596.3016
37.251959,0.463412,936.455451,26.05306,24.239729,24.725049,32.98224,432.8685
44.234188,0.48355,1332.064831,25.653768,24.067833,23.737607,31.582523,642.4957
33.14825,0.460607,1321.115883,25.736149,24.558929,24.785873,32.721319,607.9341
43.141983,0.436482,1299.81204,25.57383,24.216592,23.914543,30.979832,568.2109
41.201672,0.475684,1311.898417,25.884476,24.140428,24.760471,32.090619,621.7623
42.087842,0.435595,1324.171457,25.709853,24.169947,23.465466,30.199569,573.8086
38.197061,0.446453,1286.18368,25.295734,24.025908,23.41843,30.881965,572.8508
32.925,0.425,1144.98,25.39,23.915,23.31,30.35,485.095
39.217521,0.469131,1240.658468,25.586465,23.760808,23.218441,30.059128,582.9539
41.64047,0.489199,920.931624,25.518745,23.92213,24.797573,33.015275,454.0723
35.139181,0.450824,1396.982699,25.704222,23.925951,23.695664,30.880657,628.8581
40.008058,0.483224,1329.432897,25.440082,23.717436,23.174006,31.618432,643.4364
35.760957,0.496693,1286.463473,25.530798,23.725305,23.451909,31.106955,637.738
37.011453,0.47296,1432.061397,25.666258,23.891628,23.387007,31.039487,677.3647
47.489818,0.501001,1334.842451,25.735598,23.662851,22.797205,30.070244,669.7632
43.141878,0.507135,1403.494063,25.751676,23.960584,23.797079,31.761888,713.1178
42.400139,0.443022,1448.741067,25.56241,23.750684,22.544785,29.480315,641.3728
43.242837,0.493517,1488.362851,25.639678,24.240923,24.005985,32.228954,735.1406
40.722953,0.46796,1304.67293,25.415857,23.956279,23.738056,31.281806,607.9717
28.56885,0.452776,1018.649909,25.588399,23.78964,24.585328,33.449606,461.9968
39.459914,0.478623,1504.282856,25.606657,24.09269,23.873206,31.534198,719.9246
38.404524,0.368802,1103.330164,25.469354,23.770869,22.88488,30.871502,408.6163
40.513377,0.358437,1291.935964,25.493498,23.813565,23.20697,30.200196,465.8019
37.087134,0.34499,1231.291068,25.261152,23.48832,22.939244,30.270731,424.1225
37.875,0.351,1450.02,25.405,23.555,23.48,31.19,507.185
42.866043,0.492331,1125.435883,25.750641,24.541871,24.263872,31.874182,553.957
44.600811,0.505381,1062.144804,25.673992,24.314071,24.586644,32.365806,535.5983
35.825,0.4035,1036.13,25.39,23.75,22.695,30.605,409.865
43.651036,0.496347,1237.790965,25.750821,24.176771,24.292846,31.866624,613.354
41.604059,0.400711,1257.840505,25.582441,23.863505,23.993438,32.399103,504.1498
35.241043,0.443331,1539.825883,26.010641,23.996871,23.813872,31.079182,679.722
39.15,0.409,631.04,25.375,23.76,23.12,30.585,254.905
